"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Цвет;Weight;Length;Width;Height
807279393032;;64;;Картины;"Синий подосиновик";50х70;Очень;https://static.tildacdn.com/stor3737-6533-4964-b235-633063353730/950128ec194f1c1dabed82972de82814.webp;2500.00;1;;;;HnasTBsIiE1rD30elt5G;;"Зеленый;Голубой";0;0;0;0
976147459452;;65;;Картины;"Малые Канарские острова. Ла Гомера";40х60;Очень;https://static.tildacdn.com/stor3538-3633-4261-a234-343134383232/48bb99b3336f1c5ea8a679048656f2fa.webp;2500.00;1;;;;ODTumJmabK69UHIhVkYy;;"Желтый;Белый";0;0;0;0
252306717452;;66;;Картины;"Малые Канарские острова. Ла Пальма";40х60;Очень;https://static.tildacdn.com/stor3262-6537-4564-b265-396438643030/f077565758954b8cfa3968ba9c42176a.webp;2500.00;1;;;;Oo7TLEdsxtCMhKzpBoUz;;"Оранжевый;Красный";0;0;0;0
652753217132;;67;;Картины;"Малые Канарские острова. Эль Йерро";40х60;Очень;https://static.tildacdn.com/stor6633-6331-4632-b333-316435346238/93300d76764f82cc5db4571ab479b442.webp;2500.00;1;;;;dOsuR0xEdLsZhlJVS1xP;;"Желтый;Фиолетовый";0;0;0;0
596763912912;;68;;Картины;"Из жизни рыб";40х40;Очень;https://static.tildacdn.com/stor3732-6161-4663-b438-396564643665/c48427de6db2628c649826a8438b05e5.webp;2500.00;1;;;;UL9ByOoL29mTJGM5mzYn;;"Красный;Зеленый";0;0;0;0
318698081592;;69;;Картины;"Мангуст Джеф любуется штормом на острове Мэн";50х70;Очень;https://static.tildacdn.com/stor6334-6466-4533-a633-363135613366/0f70eec3def01dca50a57962dc62b6c2.webp;2500.00;1;;;;3LEsZ7bEkNcfpJmglMAX;;Фиолетовый;0;0;0;0
514299636922;;80;;Картины;"Цветочный пинбол";60х90;Очень;https://static.tildacdn.com/stor3830-6531-4433-b563-633236626630/49b36fb57bf3e9f8eb157dfd822eb0fa.webp;2500.00;1;;;;7VAmkuDKB2N3Iumca0fZ;;Розовый;0;0;0;0
797454304192;;81;;Картины;"Лето в Арктике";60х40;Очень;;2500.00;1;;;;U4Z3LB3OSoMfR2zr96l6;;;0;0;0;0
712678929282;;82;;Картины;"Близкие во Вселенной — Луна";25х35;Очень;;2500.00;1;;;;GLXoHNirMYmvbslNj43g;;;0;0;0;0
380020097652;;83;;Картины;"Близкие во Вселенной — Марс";25х35;Очень;;2500.00;1;;;;kR25CUz7CJ2B71mu2Se4;;;0;0;0;0
850043967052;;84;;Картины;"Близкие во Вселенной — Венера";25х35;Очень;;2500.00;1;;;;UfM4OiSH4J6hpYhF7h05;;;0;0;0;0
280510846552;;85;;Картины;"Три дороги — две судьбы";50х30;Очень;;2500.00;1;;;;LkuVFJRFSAsd7z1mMGAr;;;0;0;0;0
646894214792;;86;;Картины;"Сокровища Агры";40х40;Очень;;2500.00;1;;;;ALmKf0H2lgOM1JH0NjTX;;;0;0;0;0
980971705742;;87;;Картины;"Вечерело... Утка осенью в большой цене";40х60;Очень;;2500.00;1;;;;zfaSYerRnDzGY4ViGZtI;;;0;0;0;0
884590907102;;88;;Картины;Данко;50х50;Очень;;2500.00;1;;;;57N8gNgkvdnInoPBUvnt;;;0;0;0;0
604330599862;;89;;Картины;"Что-то философское";40х40;Очень;;2500.00;1;;;;GoEl87ylB00AxF77fONd;;;0;0;0;0
795358949882;;90;;Картины;"Слэб родового древа";50х50;Очень;;2500.00;1;;;;kCHOESm8R4HFUamGZIrx;;;0;0;0;0
522102514332;;91;;Картины;"...я очутился в сумрачном лесу";40х40;Очень;;2500.00;1;;;;uthRl8eH56illJ78kP3l;;;0;0;0;0
347852835332;;92;;Картины;"Морской кот Фёдор покоряет мыс Доброй Надежды";20х40;Очень;;2500.00;1;;;;H9J2jXOEBrNHkR0IHdFy;;;0;0;0;0
893047671662;;93;;Картины;"Саламандры Атакуют";35х25;Очень;;2500.00;1;;;;l3JC4JntOYTraHxGJKAn;;;0;0;0;0
861855365582;;94;;Картины;"Сон кенгура Джека";40х40;Очень;;2500.00;1;;;;7LcyMZJ3o7oo7LDBx2eb;;;0;0;0;0
965459877762;;95;;Картины;Кот-молния;50х50;Очень;;2500.00;1;;;;Xc3kLOzesuTOGi4t6XP3;;;0;0;0;0
